Sample,Metric,Match Distance
17,Uniformified 32-bit Symmetric Wrap Metric Distance,0.993569
17,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0177148
18,Uniformified 32-bit Hamming Metric Distance,0.959931
18,Uniformified 32-bit Approx Dual Streak Metric Distance,0.858598
18,Uniformified 32-bit Hash Metric Distance,0.998497
18,Uniformified 32-bit Symmetric Wrap Metric Distance,0.994211
18,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00412454
19,Uniformified 32-bit Hamming Metric Distance,0.959931
19,Uniformified 32-bit Approx Dual Streak Metric Distance,0.83418
19,Uniformified 32-bit Hash Metric Distance,0.00013039
19,Uniformified 32-bit Symmetric Wrap Metric Distance,0.999285
19,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00482959
20,Uniformified 32-bit Hamming Metric Distance,0.999966
20,Uniformified 32-bit Approx Dual Streak Metric Distance,0.794294
20,Uniformified 32-bit Hash Metric Distance,0.999654
20,Uniformified 32-bit Symmetric Wrap Metric Distance,0.984335
20,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00779563
21,Uniformified 32-bit Hamming Metric Distance,0.756315
21,Uniformified 32-bit Approx Dual Streak Metric Distance,0.993433
21,Uniformified 32-bit Hash Metric Distance,0.00304244
21,Uniformified 32-bit Symmetric Wrap Metric Distance,0.998284
21,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00639394
22,Uniformified 32-bit Hamming Metric Distance,0.918385
22,Uniformified 32-bit Approx Dual Streak Metric Distance,0.265862
22,Uniformified 32-bit Hash Metric Distance,0.00695866
22,Uniformified 32-bit Symmetric Wrap Metric Distance,0.998363
22,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0132186
23,Uniformified 32-bit Hamming Metric Distance,0.918385
23,Uniformified 32-bit Approx Dual Streak Metric Distance,0.867532
23,Uniformified 32-bit Hash Metric Distance,0.999275
23,Uniformified 32-bit Symmetric Wrap Metric Distance,0.98231
23,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.015612
24,Uniformified 32-bit Hamming Metric Distance,0.918385
24,Uniformified 32-bit Approx Dual Streak Metric Distance,0.794294
24,Uniformified 32-bit Hash Metric Distance,0.010697
24,Uniformified 32-bit Symmetric Wrap Metric Distance,0.997139
24,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0164043
25,Uniformified 32-bit Hamming Metric Distance,0.918385
25,Uniformified 32-bit Approx Dual Streak Metric Distance,0.977998
25,Uniformified 32-bit Hash Metric Distance,0.0107618
25,Uniformified 32-bit Symmetric Wrap Metric Distance,0.9916
25,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0059478
26,Uniformified 32-bit Hamming Metric Distance,0.499488
26,Uniformified 32-bit Approx Dual Streak Metric Distance,0.999222
26,Uniformified 32-bit Hash Metric Distance,0.0117488
26,Uniformified 32-bit Symmetric Wrap Metric Distance,0.987447
26,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00900246
27,Uniformified 32-bit Hamming Metric Distance,0.982521
27,Uniformified 32-bit Approx Dual Streak Metric Distance,0.83418
27,Uniformified 32-bit Hash Metric Distance,0.00752947
27,Uniformified 32-bit Symmetric Wrap Metric Distance,0.992183
27,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0167851
