Sample,Metric,Match Distance
17,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00437213
18,Uniformified 32-bit Hamming Metric Distance,0.749875
18,Uniformified 32-bit Approx Dual Streak Metric Distance,0.943706
18,Uniformified 32-bit Hash Metric Distance,0.852718
18,Uniformified 32-bit Symmetric Wrap Metric Distance,0.992636
18,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0144819
19,Uniformified 32-bit Hamming Metric Distance,0.749875
19,Uniformified 32-bit Approx Dual Streak Metric Distance,0.357514
19,Uniformified 32-bit Hash Metric Distance,0.421333
19,Uniformified 32-bit Symmetric Wrap Metric Distance,0.999067
19,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0178598
20,Uniformified 32-bit Hamming Metric Distance,0.916708
20,Uniformified 32-bit Approx Dual Streak Metric Distance,0.726727
20,Uniformified 32-bit Hash Metric Distance,0.383806
20,Uniformified 32-bit Symmetric Wrap Metric Distance,0.990104
20,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00700622
21,Uniformified 32-bit Hamming Metric Distance,0.9998
21,Uniformified 32-bit Approx Dual Streak Metric Distance,0.963404
21,Uniformified 32-bit Hash Metric Distance,0.806626
21,Uniformified 32-bit Symmetric Wrap Metric Distance,0.992431
21,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0164867
22,Uniformified 32-bit Hamming Metric Distance,0.490701
22,Uniformified 32-bit Approx Dual Streak Metric Distance,0.238626
22,Uniformified 32-bit Hash Metric Distance,0.712351
22,Uniformified 32-bit Symmetric Wrap Metric Distance,0.981777
22,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0113064
23,Uniformified 32-bit Hamming Metric Distance,0.959404
23,Uniformified 32-bit Approx Dual Streak Metric Distance,0.955154
23,Uniformified 32-bit Hash Metric Distance,0.282068
23,Uniformified 32-bit Symmetric Wrap Metric Distance,0.993692
23,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00437828
