Sample,Metric,Detour Difference
1605,Uniformified 32-bit Hamming Metric Distance,1.83827
1605,Uniformified 32-bit Approx Dual Streak Metric Distance,1.27962
1605,Uniformified 32-bit Hash Metric Distance,0.89672
1605,Uniformified 32-bit Symmetric Wrap Metric Distance,1.6329
1605,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.00957606
1606,Uniformified 32-bit Hamming Metric Distance,1.13059
1606,Uniformified 32-bit Approx Dual Streak Metric Distance,0.821968
1606,Uniformified 32-bit Hash Metric Distance,0.597933
1606,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00273099
1606,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.0032746
1607,Uniformified 32-bit Hamming Metric Distance,0.749875
1607,Uniformified 32-bit Approx Dual Streak Metric Distance,1.32872
1607,Uniformified 32-bit Hash Metric Distance,0.259175
1607,Uniformified 32-bit Symmetric Wrap Metric Distance,-0.00665866
1607,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.00153931
1608,Uniformified 32-bit Hamming Metric Distance,0.0762924
1608,Uniformified 32-bit Approx Dual Streak Metric Distance,-0.142636
1608,Uniformified 32-bit Hash Metric Distance,0.267648
1608,Uniformified 32-bit Symmetric Wrap Metric Distance,0.197177
1608,Uniformified 32-bit Asymmetric Wrap Metric Distance,1.00033
1609,Uniformified 32-bit Hamming Metric Distance,0.231527
1609,Uniformified 32-bit Approx Dual Streak Metric Distance,-0.289221
1609,Uniformified 32-bit Hash Metric Distance,1.03493
1609,Uniformified 32-bit Symmetric Wrap Metric Distance,1.62389
1609,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.987479
1610,Uniformified 32-bit Hamming Metric Distance,1.22263
1610,Uniformified 32-bit Approx Dual Streak Metric Distance,0.543046
1610,Uniformified 32-bit Hash Metric Distance,0.287325
1610,Uniformified 32-bit Symmetric Wrap Metric Distance,1.59583
1610,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.98837
1611,Uniformified 32-bit Hamming Metric Distance,-0.311219
1611,Uniformified 32-bit Approx Dual Streak Metric Distance,-0.340566
1611,Uniformified 32-bit Hash Metric Distance,-0.195485
1611,Uniformified 32-bit Symmetric Wrap Metric Distance,0.0202226
1611,Uniformified 32-bit Asymmetric Wrap Metric Distance,1.00128
1612,Uniformified 32-bit Hamming Metric Distance,0.965353
1612,Uniformified 32-bit Approx Dual Streak Metric Distance,1.14859
1612,Uniformified 32-bit Hash Metric Distance,0.42571
1612,Uniformified 32-bit Symmetric Wrap Metric Distance,1.06411
1612,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.993696
1613,Uniformified 32-bit Hamming Metric Distance,1.00905
1613,Uniformified 32-bit Approx Dual Streak Metric Distance,-0.0717428
1613,Uniformified 32-bit Hash Metric Distance,0.957896
1613,Uniformified 32-bit Symmetric Wrap Metric Distance,0.381343
1613,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.00525744
1614,Uniformified 32-bit Hamming Metric Distance,1.00905
1614,Uniformified 32-bit Approx Dual Streak Metric Distance,1.18713
1614,Uniformified 32-bit Hash Metric Distance,-0.0345258
1614,Uniformified 32-bit Symmetric Wrap Metric Distance,-0.00337153
1614,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.00107533
1615,Uniformified 32-bit Hamming Metric Distance,1.31597
1615,Uniformified 32-bit Approx Dual Streak Metric Distance,0.921158
1615,Uniformified 32-bit Hash Metric Distance,0.639016
1615,Uniformified 32-bit Symmetric Wrap Metric Distance,0.283824
1615,Uniformified 32-bit Asymmetric Wrap Metric Distance,1.00041
1616,Uniformified 32-bit Hamming Metric Distance,0.963754
1616,Uniformified 32-bit Approx Dual Streak Metric Distance,0.555994
1616,Uniformified 32-bit Hash Metric Distance,0.305941
1616,Uniformified 32-bit Symmetric Wrap Metric Distance,1.57857
1616,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.0031115
1617,Uniformified 32-bit Hamming Metric Distance,-0.0384462
1617,Uniformified 32-bit Approx Dual Streak Metric Distance,0.269273
1617,Uniformified 32-bit Hash Metric Distance,1.62352
1617,Uniformified 32-bit Symmetric Wrap Metric Distance,1.04488
1617,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.0133128
1618,Uniformified 32-bit Hamming Metric Distance,1.00505
1618,Uniformified 32-bit Approx Dual Streak Metric Distance,0.766723
1618,Uniformified 32-bit Hash Metric Distance,0.516779
1618,Uniformified 32-bit Symmetric Wrap Metric Distance,-0.0125119
1618,Uniformified 32-bit Asymmetric Wrap Metric Distance,1.00731
1619,Uniformified 32-bit Hamming Metric Distance,0.583192
1619,Uniformified 32-bit Approx Dual Streak Metric Distance,0.258124
1619,Uniformified 32-bit Hash Metric Distance,-0.0660077
1619,Uniformified 32-bit Symmetric Wrap Metric Distance,-0.000587857
1619,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.00384266
1620,Uniformified 32-bit Hamming Metric Distance,0.0762924
1620,Uniformified 32-bit Approx Dual Streak Metric Distance,0.235326
1620,Uniformified 32-bit Hash Metric Distance,0.599462
1620,Uniformified 32-bit Symmetric Wrap Metric Distance,0.000255576
1620,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0012375
1621,Uniformified 32-bit Hamming Metric Distance,-0.511899
1621,Uniformified 32-bit Approx Dual Streak Metric Distance,-0.527147
1621,Uniformified 32-bit Hash Metric Distance,0.801639
1621,Uniformified 32-bit Symmetric Wrap Metric Distance,-0.00320646
1621,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.000159957
1622,Uniformified 32-bit Hamming Metric Distance,0.294921
1622,Uniformified 32-bit Approx Dual Streak Metric Distance,0.840216
1622,Uniformified 32-bit Hash Metric Distance,0.541655
1622,Uniformified 32-bit Symmetric Wrap Metric Distance,1.0068
1622,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.000991999
1623,Uniformified 32-bit Hamming Metric Distance,1.57339
1623,Uniformified 32-bit Approx Dual Streak Metric Distance,1.34212
1623,Uniformified 32-bit Hash Metric Distance,-0.509287
1623,Uniformified 32-bit Symmetric Wrap Metric Distance,0.244825
1623,Uniformified 32-bit Asymmetric Wrap Metric Distance,1.00048
1624,Uniformified 32-bit Hamming Metric Distance,0.157834
1624,Uniformified 32-bit Approx Dual Streak Metric Distance,0.0336466
1624,Uniformified 32-bit Hash Metric Distance,0.430975
1624,Uniformified 32-bit Symmetric Wrap Metric Distance,-0.000608408
1624,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.000318282
1625,Uniformified 32-bit Hamming Metric Distance,1.80207
1625,Uniformified 32-bit Approx Dual Streak Metric Distance,1.76567
1625,Uniformified 32-bit Hash Metric Distance,0.370257
1625,Uniformified 32-bit Symmetric Wrap Metric Distance,0.324917
1625,Uniformified 32-bit Asymmetric Wrap Metric Distance,1.00531
1626,Uniformified 32-bit Hamming Metric Distance,0.728127
1626,Uniformified 32-bit Approx Dual Streak Metric Distance,0.783922
1626,Uniformified 32-bit Hash Metric Distance,1.00357
1626,Uniformified 32-bit Symmetric Wrap Metric Distance,0.955142
1626,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.991601
1627,Uniformified 32-bit Hamming Metric Distance,0.0168983
1627,Uniformified 32-bit Approx Dual Streak Metric Distance,-0.381662
1627,Uniformified 32-bit Hash Metric Distance,0.505508
1627,Uniformified 32-bit Symmetric Wrap Metric Distance,1.2954
1627,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.983573
1628,Uniformified 32-bit Hamming Metric Distance,0.323868
1628,Uniformified 32-bit Approx Dual Streak Metric Distance,0.256774
1628,Uniformified 32-bit Hash Metric Distance,0.478901
1628,Uniformified 32-bit Symmetric Wrap Metric Distance,0.524485
1628,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.010249
1629,Uniformified 32-bit Hamming Metric Distance,0.452055
1629,Uniformified 32-bit Approx Dual Streak Metric Distance,0.649935
1629,Uniformified 32-bit Hash Metric Distance,0.747546
1629,Uniformified 32-bit Symmetric Wrap Metric Distance,1.24675
1629,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.982153
1630,Uniformified 32-bit Hamming Metric Distance,-0.257074
1630,Uniformified 32-bit Approx Dual Streak Metric Distance,-0.328717
1630,Uniformified 32-bit Hash Metric Distance,1.13043
1630,Uniformified 32-bit Symmetric Wrap Metric Distance,0.70038
1630,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00315906
1631,Uniformified 32-bit Hamming Metric Distance,0.566293
1631,Uniformified 32-bit Approx Dual Streak Metric Distance,0.787571
1631,Uniformified 32-bit Hash Metric Distance,0.337583
1631,Uniformified 32-bit Symmetric Wrap Metric Distance,0.817679
1631,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.00230337
1632,Uniformified 32-bit Hamming Metric Distance,0.764674
1632,Uniformified 32-bit Approx Dual Streak Metric Distance,0.357164
1632,Uniformified 32-bit Hash Metric Distance,0.695055
1632,Uniformified 32-bit Symmetric Wrap Metric Distance,0.317909
1632,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.98999
1633,Uniformified 32-bit Hamming Metric Distance,0.235526
1633,Uniformified 32-bit Approx Dual Streak Metric Distance,0.723978
1633,Uniformified 32-bit Hash Metric Distance,-0.0502157
1633,Uniformified 32-bit Symmetric Wrap Metric Distance,1.55866
1633,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.990098
1634,Uniformified 32-bit Hamming Metric Distance,-0.0405459
1634,Uniformified 32-bit Approx Dual Streak Metric Distance,0.737676
1634,Uniformified 32-bit Hash Metric Distance,-0.332247
1634,Uniformified 32-bit Symmetric Wrap Metric Distance,-0.0132063
1634,Uniformified 32-bit Asymmetric Wrap Metric Distance,1.00874
1635,Uniformified 32-bit Hamming Metric Distance,0.235526
1635,Uniformified 32-bit Approx Dual Streak Metric Distance,0.732827
1635,Uniformified 32-bit Hash Metric Distance,1.19762
1635,Uniformified 32-bit Symmetric Wrap Metric Distance,0.57439
1635,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.993965
1636,Uniformified 32-bit Hamming Metric Distance,0.535996
1636,Uniformified 32-bit Approx Dual Streak Metric Distance,0.158084
1636,Uniformified 32-bit Hash Metric Distance,0.881253
1636,Uniformified 32-bit Symmetric Wrap Metric Distance,0.201382
1636,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.995244
1637,Uniformified 32-bit Hamming Metric Distance,0.235526
1637,Uniformified 32-bit Approx Dual Streak Metric Distance,0.29697
1637,Uniformified 32-bit Hash Metric Distance,-0.0176906
1637,Uniformified 32-bit Symmetric Wrap Metric Distance,0.184918
1637,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.99987
1638,Uniformified 32-bit Hamming Metric Distance,0.235526
1638,Uniformified 32-bit Approx Dual Streak Metric Distance,0.169833
1638,Uniformified 32-bit Hash Metric Distance,0.380693
1638,Uniformified 32-bit Symmetric Wrap Metric Distance,1.01887
1638,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.00327929
1639,Uniformified 32-bit Hamming Metric Distance,0.218628
1639,Uniformified 32-bit Approx Dual Streak Metric Distance,0.59699
1639,Uniformified 32-bit Hash Metric Distance,0.61977
1639,Uniformified 32-bit Symmetric Wrap Metric Distance,-0.00438349
1639,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.000751163
1640,Uniformified 32-bit Hamming Metric Distance,0.749875
1640,Uniformified 32-bit Approx Dual Streak Metric Distance,0.392611
1640,Uniformified 32-bit Hash Metric Distance,0.272898
1640,Uniformified 32-bit Symmetric Wrap Metric Distance,0.685367
1640,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00278866
1641,Uniformified 32-bit Hamming Metric Distance,0.235526
1641,Uniformified 32-bit Approx Dual Streak Metric Distance,-0.20388
1641,Uniformified 32-bit Hash Metric Distance,0.665458
1641,Uniformified 32-bit Symmetric Wrap Metric Distance,0.000353655
1641,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.00287186
1642,Uniformified 32-bit Hamming Metric Distance,1.31597
1642,Uniformified 32-bit Approx Dual Streak Metric Distance,1.37981
1642,Uniformified 32-bit Hash Metric Distance,0.404044
1642,Uniformified 32-bit Symmetric Wrap Metric Distance,0.830077
1642,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.0107898
1643,Uniformified 32-bit Hamming Metric Distance,-0.0384462
1643,Uniformified 32-bit Approx Dual Streak Metric Distance,0.0671433
1643,Uniformified 32-bit Hash Metric Distance,-0.26158
1643,Uniformified 32-bit Symmetric Wrap Metric Distance,1.15244
1643,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.0145562
1644,Uniformified 32-bit Hamming Metric Distance,0.909109
1644,Uniformified 32-bit Approx Dual Streak Metric Distance,0.60209
1644,Uniformified 32-bit Hash Metric Distance,0.43197
1644,Uniformified 32-bit Symmetric Wrap Metric Distance,0.112993
1644,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.00131571
1645,Uniformified 32-bit Hamming Metric Distance,1.02175
1645,Uniformified 32-bit Approx Dual Streak Metric Distance,0.630437
1645,Uniformified 32-bit Hash Metric Distance,0.21893
1645,Uniformified 32-bit Symmetric Wrap Metric Distance,1.37947
1645,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.988058
1646,Uniformified 32-bit Hamming Metric Distance,-0.356514
1646,Uniformified 32-bit Approx Dual Streak Metric Distance,0.108139
1646,Uniformified 32-bit Hash Metric Distance,0.516201
1646,Uniformified 32-bit Symmetric Wrap Metric Distance,-0.00895522
1646,Uniformified 32-bit Asymmetric Wrap Metric Distance,1.00564
1647,Uniformified 32-bit Hamming Metric Distance,1.73533
1647,Uniformified 32-bit Approx Dual Streak Metric Distance,1.58139
1647,Uniformified 32-bit Hash Metric Distance,0.406233
1647,Uniformified 32-bit Symmetric Wrap Metric Distance,0.165234
1647,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.0036038
1648,Uniformified 32-bit Hamming Metric Distance,1.31597
1648,Uniformified 32-bit Approx Dual Streak Metric Distance,1.5113
1648,Uniformified 32-bit Hash Metric Distance,0.859252
1648,Uniformified 32-bit Symmetric Wrap Metric Distance,0.807439
1648,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.00821754
1649,Uniformified 32-bit Hamming Metric Distance,0.693131
1649,Uniformified 32-bit Approx Dual Streak Metric Distance,0.435456
1649,Uniformified 32-bit Hash Metric Distance,1.27807
1649,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00650173
1649,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.995539
1650,Uniformified 32-bit Hamming Metric Distance,0.723378
1650,Uniformified 32-bit Approx Dual Streak Metric Distance,0.878662
1650,Uniformified 32-bit Hash Metric Distance,0.16172
1650,Uniformified 32-bit Symmetric Wrap Metric Distance,-0.00711799
1650,Uniformified 32-bit Asymmetric Wrap Metric Distance,1.00255
1651,Uniformified 32-bit Hamming Metric Distance,0.145135
1651,Uniformified 32-bit Approx Dual Streak Metric Distance,0.458604
1651,Uniformified 32-bit Hash Metric Distance,1.01261
1651,Uniformified 32-bit Symmetric Wrap Metric Distance,0.34744
1651,Uniformified 32-bit Asymmetric Wrap Metric Distance,1.00515
1652,Uniformified 32-bit Hamming Metric Distance,0.916708
1652,Uniformified 32-bit Approx Dual Streak Metric Distance,0.906159
1652,Uniformified 32-bit Hash Metric Distance,0.431479
1652,Uniformified 32-bit Symmetric Wrap Metric Distance,1.69504
1652,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.00747259
1653,Uniformified 32-bit Hamming Metric Distance,0.235526
1653,Uniformified 32-bit Approx Dual Streak Metric Distance,0.493801
1653,Uniformified 32-bit Hash Metric Distance,0.349834
1653,Uniformified 32-bit Symmetric Wrap Metric Distance,-0.0054095
1653,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.00211968
1654,Uniformified 32-bit Hamming Metric Distance,-0.416308
1654,Uniformified 32-bit Approx Dual Streak Metric Distance,-0.291321
1654,Uniformified 32-bit Hash Metric Distance,-0.0431795
1654,Uniformified 32-bit Symmetric Wrap Metric Distance,0.0854492
1654,Uniformified 32-bit Asymmetric Wrap Metric Distance,1.00081
1655,Uniformified 32-bit Hamming Metric Distance,0.431807
1655,Uniformified 32-bit Approx Dual Streak Metric Distance,0.820518
1655,Uniformified 32-bit Hash Metric Distance,0.562772
1655,Uniformified 32-bit Symmetric Wrap Metric Distance,0.369959
1655,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00422384
1656,Uniformified 32-bit Hamming Metric Distance,0.235526
1656,Uniformified 32-bit Approx Dual Streak Metric Distance,0.420608
1656,Uniformified 32-bit Hash Metric Distance,1.73263
1656,Uniformified 32-bit Symmetric Wrap Metric Distance,0.0147189
1656,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.000748735
1657,Uniformified 32-bit Hamming Metric Distance,0.133437
1657,Uniformified 32-bit Approx Dual Streak Metric Distance,0.0547445
1657,Uniformified 32-bit Hash Metric Distance,0.757268
1657,Uniformified 32-bit Symmetric Wrap Metric Distance,-0.011035
1657,Uniformified 32-bit Asymmetric Wrap Metric Distance,1.00761
1658,Uniformified 32-bit Hamming Metric Distance,-0.137586
1658,Uniformified 32-bit Approx Dual Streak Metric Distance,-0.227727
1658,Uniformified 32-bit Hash Metric Distance,-0.0211724
1658,Uniformified 32-bit Symmetric Wrap Metric Distance,-0.000816819
1658,Uniformified 32-bit Asymmetric Wrap Metric Distance,1.00357
1659,Uniformified 32-bit Hamming Metric Distance,0.0762924
1659,Uniformified 32-bit Approx Dual Streak Metric Distance,0.348515
1659,Uniformified 32-bit Hash Metric Distance,1.31428
1659,Uniformified 32-bit Symmetric Wrap Metric Distance,0.539675
1659,Uniformified 32-bit Asymmetric Wrap Metric Distance,1.00082
1660,Uniformified 32-bit Hamming Metric Distance,0.272073
1660,Uniformified 32-bit Approx Dual Streak Metric Distance,0.493801
1660,Uniformified 32-bit Hash Metric Distance,1.05663
1660,Uniformified 32-bit Symmetric Wrap Metric Distance,-0.00205977
1660,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.000920006
1661,Uniformified 32-bit Hamming Metric Distance,0.963454
1661,Uniformified 32-bit Approx Dual Streak Metric Distance,0.792521
1661,Uniformified 32-bit Hash Metric Distance,0.495534
1661,Uniformified 32-bit Symmetric Wrap Metric Distance,0.359862
1661,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.995729
1662,Uniformified 32-bit Hamming Metric Distance,0.671333
1662,Uniformified 32-bit Approx Dual Streak Metric Distance,0.351465
1662,Uniformified 32-bit Hash Metric Distance,0.585728
1662,Uniformified 32-bit Symmetric Wrap Metric Distance,0.471899
1662,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.00248392
1663,Uniformified 32-bit Hamming Metric Distance,0.259924
1663,Uniformified 32-bit Approx Dual Streak Metric Distance,0.105439
1663,Uniformified 32-bit Hash Metric Distance,0.79023
1663,Uniformified 32-bit Symmetric Wrap Metric Distance,-0.00131408
1663,Uniformified 32-bit Asymmetric Wrap Metric Distance,1.00223
1664,Uniformified 32-bit Hamming Metric Distance,0.454155
1664,Uniformified 32-bit Approx Dual Streak Metric Distance,0.0549945
1664,Uniformified 32-bit Hash Metric Distance,-0.0829033
1664,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00986183
1664,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.999496
1665,Uniformified 32-bit Hamming Metric Distance,1.22263
1665,Uniformified 32-bit Approx Dual Streak Metric Distance,1.32827
1665,Uniformified 32-bit Hash Metric Distance,0.663485
1665,Uniformified 32-bit Symmetric Wrap Metric Distance,0.301571
1665,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.997974
1666,Uniformified 32-bit Hamming Metric Distance,-0.0236476
1666,Uniformified 32-bit Approx Dual Streak Metric Distance,0.446855
1666,Uniformified 32-bit Hash Metric Distance,0.738362
1666,Uniformified 32-bit Symmetric Wrap Metric Distance,1.49941
1666,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.987453
1667,Uniformified 32-bit Hamming Metric Distance,1.59029
1667,Uniformified 32-bit Approx Dual Streak Metric Distance,1.56784
1667,Uniformified 32-bit Hash Metric Distance,1.38483
1667,Uniformified 32-bit Symmetric Wrap Metric Distance,0.946026
1667,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.991439
1668,Uniformified 32-bit Hamming Metric Distance,0.0686931
1668,Uniformified 32-bit Approx Dual Streak Metric Distance,-0.241126
1668,Uniformified 32-bit Hash Metric Distance,1.03799
1668,Uniformified 32-bit Symmetric Wrap Metric Distance,0.607994
1668,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00257454
1669,Uniformified 32-bit Hamming Metric Distance,0.133437
1669,Uniformified 32-bit Approx Dual Streak Metric Distance,0.483602
1669,Uniformified 32-bit Hash Metric Distance,0.82124
1669,Uniformified 32-bit Symmetric Wrap Metric Distance,0.626861
1669,Uniformified 32-bit Asymmetric Wrap Metric Distance,1.00078
1670,Uniformified 32-bit Hamming Metric Distance,0.494701
1670,Uniformified 32-bit Approx Dual Streak Metric Distance,0.965203
1670,Uniformified 32-bit Hash Metric Distance,1.03266
1670,Uniformified 32-bit Symmetric Wrap Metric Distance,-0.00372918
1670,Uniformified 32-bit Asymmetric Wrap Metric Distance,1.00305
1671,Uniformified 32-bit Hamming Metric Distance,0.490701
1671,Uniformified 32-bit Approx Dual Streak Metric Distance,0.30227
1671,Uniformified 32-bit Hash Metric Distance,-0.181485
1671,Uniformified 32-bit Symmetric Wrap Metric Distance,1.01759
1671,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.00972902
1672,Uniformified 32-bit Hamming Metric Distance,0.235526
1672,Uniformified 32-bit Approx Dual Streak Metric Distance,0.59874
1672,Uniformified 32-bit Hash Metric Distance,0.283343
1672,Uniformified 32-bit Symmetric Wrap Metric Distance,0.184493
1672,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.00422853
1673,Uniformified 32-bit Hamming Metric Distance,0.711229
1673,Uniformified 32-bit Approx Dual Streak Metric Distance,0.752575
1673,Uniformified 32-bit Hash Metric Distance,0.850531
1673,Uniformified 32-bit Symmetric Wrap Metric Distance,0.144446
1673,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.00178393
1674,Uniformified 32-bit Hamming Metric Distance,0.475902
1674,Uniformified 32-bit Approx Dual Streak Metric Distance,1.0262
1674,Uniformified 32-bit Hash Metric Distance,0.491263
1674,Uniformified 32-bit Symmetric Wrap Metric Distance,0.0835146
1674,Uniformified 32-bit Asymmetric Wrap Metric Distance,1.63027e-05
1675,Uniformified 32-bit Hamming Metric Distance,0.317068
1675,Uniformified 32-bit Approx Dual Streak Metric Distance,0.473803
1675,Uniformified 32-bit Hash Metric Distance,1.36
1675,Uniformified 32-bit Symmetric Wrap Metric Distance,0.145494
1675,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.000341539
1676,Uniformified 32-bit Hamming Metric Distance,-0.00189981
1676,Uniformified 32-bit Approx Dual Streak Metric Distance,0.591691
1676,Uniformified 32-bit Hash Metric Distance,1.29782
1676,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00477611
1676,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.995064
1677,Uniformified 32-bit Hamming Metric Distance,0.916708
1677,Uniformified 32-bit Approx Dual Streak Metric Distance,0.364464
1677,Uniformified 32-bit Hash Metric Distance,0.860156
1677,Uniformified 32-bit Symmetric Wrap Metric Distance,0.423129
1677,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.984544
1678,Uniformified 32-bit Hamming Metric Distance,0.176632
1678,Uniformified 32-bit Approx Dual Streak Metric Distance,-0.0687431
1678,Uniformified 32-bit Hash Metric Distance,0.598538
1678,Uniformified 32-bit Symmetric Wrap Metric Distance,0.515385
1678,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.00819935
1679,Uniformified 32-bit Hamming Metric Distance,0.642736
1679,Uniformified 32-bit Approx Dual Streak Metric Distance,1.5393
1679,Uniformified 32-bit Hash Metric Distance,0.12618
1679,Uniformified 32-bit Symmetric Wrap Metric Distance,-0.0116711
1679,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.00271372
1680,Uniformified 32-bit Hamming Metric Distance,0.492601
1680,Uniformified 32-bit Approx Dual Streak Metric Distance,1.08604
1680,Uniformified 32-bit Hash Metric Distance,-0.0955888
1680,Uniformified 32-bit Symmetric Wrap Metric Distance,0.664373
1680,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.996445
1681,Uniformified 32-bit Hamming Metric Distance,-0.512399
1681,Uniformified 32-bit Approx Dual Streak Metric Distance,0.209179
1681,Uniformified 32-bit Hash Metric Distance,-0.302119
1681,Uniformified 32-bit Symmetric Wrap Metric Distance,0.178386
1681,Uniformified 32-bit Asymmetric Wrap Metric Distance,1.00218
1682,Uniformified 32-bit Hamming Metric Distance,0.0179482
1682,Uniformified 32-bit Approx Dual Streak Metric Distance,0.00724928
1682,Uniformified 32-bit Hash Metric Distance,1.38541
1682,Uniformified 32-bit Symmetric Wrap Metric Distance,0.184495
1682,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.00172083
1683,Uniformified 32-bit Hamming Metric Distance,0.424108
1683,Uniformified 32-bit Approx Dual Streak Metric Distance,0.407159
1683,Uniformified 32-bit Hash Metric Distance,-0.715295
1683,Uniformified 32-bit Symmetric Wrap Metric Distance,1.3288
1683,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.990551
1684,Uniformified 32-bit Hamming Metric Distance,0.507399
1684,Uniformified 32-bit Approx Dual Streak Metric Distance,0.357164
1684,Uniformified 32-bit Hash Metric Distance,0.805366
1684,Uniformified 32-bit Symmetric Wrap Metric Distance,0.742117
1684,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00319465
1685,Uniformified 32-bit Hamming Metric Distance,1.42346
1685,Uniformified 32-bit Approx Dual Streak Metric Distance,1.25232
1685,Uniformified 32-bit Hash Metric Distance,0.554562
1685,Uniformified 32-bit Symmetric Wrap Metric Distance,0.239721
1685,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.998885
1686,Uniformified 32-bit Hamming Metric Distance,0.709329
1686,Uniformified 32-bit Approx Dual Streak Metric Distance,0.829367
1686,Uniformified 32-bit Hash Metric Distance,0.0493728
1686,Uniformified 32-bit Symmetric Wrap Metric Distance,1.08398
1686,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.995577
1687,Uniformified 32-bit Hamming Metric Distance,1.24248
1687,Uniformified 32-bit Approx Dual Streak Metric Distance,1.41271
1687,Uniformified 32-bit Hash Metric Distance,-0.0022034
1687,Uniformified 32-bit Symmetric Wrap Metric Distance,-0.00196331
1687,Uniformified 32-bit Asymmetric Wrap Metric Distance,1.00081
1688,Uniformified 32-bit Hamming Metric Distance,0.235526
1688,Uniformified 32-bit Approx Dual Streak Metric Distance,0.587841
1688,Uniformified 32-bit Hash Metric Distance,0.18033
1688,Uniformified 32-bit Symmetric Wrap Metric Distance,0.933811
1688,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.00796352
1689,Uniformified 32-bit Hamming Metric Distance,0.749875
1689,Uniformified 32-bit Approx Dual Streak Metric Distance,0.609089
1689,Uniformified 32-bit Hash Metric Distance,0.782077
1689,Uniformified 32-bit Symmetric Wrap Metric Distance,0.414117
1689,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00664153
1690,Uniformified 32-bit Hamming Metric Distance,-0.237226
1690,Uniformified 32-bit Approx Dual Streak Metric Distance,-0.29777
1690,Uniformified 32-bit Hash Metric Distance,0.216885
1690,Uniformified 32-bit Symmetric Wrap Metric Distance,0.436148
1690,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.996406
1691,Uniformified 32-bit Hamming Metric Distance,0.840266
