Sample,Metric,Detour Difference
17,Uniformified 32-bit Symmetric Wrap Metric Distance,0.500498
17,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.984125
18,Uniformified 32-bit Hamming Metric Distance,1.13429
18,Uniformified 32-bit Approx Dual Streak Metric Distance,1.11144
18,Uniformified 32-bit Hash Metric Distance,-0.13712
18,Uniformified 32-bit Symmetric Wrap Metric Distance,1.9452
18,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.00467659
19,Uniformified 32-bit Hamming Metric Distance,0.490701
19,Uniformified 32-bit Approx Dual Streak Metric Distance,0.90206
19,Uniformified 32-bit Hash Metric Distance,0.704034
19,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00338328
19,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.00365664
20,Uniformified 32-bit Hamming Metric Distance,0.454155
20,Uniformified 32-bit Approx Dual Streak Metric Distance,0.000249975
20,Uniformified 32-bit Hash Metric Distance,0.559774
20,Uniformified 32-bit Symmetric Wrap Metric Distance,1.64205
20,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.987822
21,Uniformified 32-bit Hamming Metric Distance,0.916708
21,Uniformified 32-bit Approx Dual Streak Metric Distance,0.340066
21,Uniformified 32-bit Hash Metric Distance,0.656418
21,Uniformified 32-bit Symmetric Wrap Metric Distance,0.151999
21,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00172038
22,Uniformified 32-bit Hamming Metric Distance,0.868013
22,Uniformified 32-bit Approx Dual Streak Metric Distance,0.873263
22,Uniformified 32-bit Hash Metric Distance,0.84484
22,Uniformified 32-bit Symmetric Wrap Metric Distance,0.023782
22,Uniformified 32-bit Asymmetric Wrap Metric Distance,1.00004
23,Uniformified 32-bit Hamming Metric Distance,1.22263
23,Uniformified 32-bit Approx Dual Streak Metric Distance,1.43601
23,Uniformified 32-bit Hash Metric Distance,0.274668
23,Uniformified 32-bit Symmetric Wrap Metric Distance,0.050208
23,Uniformified 32-bit Asymmetric Wrap Metric Distance,1.00038
24,Uniformified 32-bit Hamming Metric Distance,0.0686931
24,Uniformified 32-bit Approx Dual Streak Metric Distance,-0.229427
24,Uniformified 32-bit Hash Metric Distance,0.467323
24,Uniformified 32-bit Symmetric Wrap Metric Distance,0.508129
24,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.00716535
25,Uniformified 32-bit Hamming Metric Distance,0.00284972
25,Uniformified 32-bit Approx Dual Streak Metric Distance,0.0864914
25,Uniformified 32-bit Hash Metric Distance,1.47657
25,Uniformified 32-bit Symmetric Wrap Metric Distance,0.62404
25,Uniformified 32-bit Asymmetric Wrap Metric Distance,1.00067
26,Uniformified 32-bit Hamming Metric Distance,-0.570393
26,Uniformified 32-bit Approx Dual Streak Metric Distance,-0.269773
26,Uniformified 32-bit Hash Metric Distance,0.673498
26,Uniformified 32-bit Symmetric Wrap Metric Distance,1.2602
26,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.990714
27,Uniformified 32-bit Hamming Metric Distance,-0.252325
27,Uniformified 32-bit Approx Dual Streak Metric Distance,-0.126487
27,Uniformified 32-bit Hash Metric Distance,-0.493315
27,Uniformified 32-bit Symmetric Wrap Metric Distance,0.500028
27,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00135495
28,Uniformified 32-bit Hamming Metric Distance,0.509499
28,Uniformified 32-bit Approx Dual Streak Metric Distance,0.160684
28,Uniformified 32-bit Hash Metric Distance,0.388632
28,Uniformified 32-bit Symmetric Wrap Metric Distance,0.501667
28,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00591131
29,Uniformified 32-bit Hamming Metric Distance,1.37151
29,Uniformified 32-bit Approx Dual Streak Metric Distance,0.912909
29,Uniformified 32-bit Hash Metric Distance,0.494794
29,Uniformified 32-bit Symmetric Wrap Metric Distance,0.323792
29,Uniformified 32-bit Asymmetric Wrap Metric Distance,1.00206
30,Uniformified 32-bit Hamming Metric Distance,0.723378
30,Uniformified 32-bit Approx Dual Streak Metric Distance,0.39856
