Sample,Metric,Mean Match Distance
17,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494973
18,Uniformified 32-bit Hamming Metric Distance,0.172576
18,Uniformified 32-bit Approx Dual Streak Metric Distance,0.256725
18,Uniformified 32-bit Hash Metric Distance,0.02372
18,Uniformified 32-bit Symmetric Wrap Metric Distance,0.0063845
18,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
19,Uniformified 32-bit Hamming Metric Distance,0.166448
19,Uniformified 32-bit Approx Dual Streak Metric Distance,0.275541
19,Uniformified 32-bit Hash Metric Distance,0.1814
19,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00632868
19,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494973
20,Uniformified 32-bit Hamming Metric Distance,0.167089
20,Uniformified 32-bit Approx Dual Streak Metric Distance,0.28023
20,Uniformified 32-bit Hash Metric Distance,0.0116203
20,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00719016
20,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494971
21,Uniformified 32-bit Hamming Metric Distance,0.164788
21,Uniformified 32-bit Approx Dual Streak Metric Distance,0.277269
21,Uniformified 32-bit Hash Metric Distance,0.0442161
21,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00688548
21,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494973
22,Uniformified 32-bit Hamming Metric Distance,0.177155
22,Uniformified 32-bit Approx Dual Streak Metric Distance,0.280825
22,Uniformified 32-bit Hash Metric Distance,0.143869
22,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00662988
22,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
23,Uniformified 32-bit Hamming Metric Distance,0.178215
23,Uniformified 32-bit Approx Dual Streak Metric Distance,0.260712
23,Uniformified 32-bit Hash Metric Distance,0.00913666
23,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00661046
23,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
24,Uniformified 32-bit Hamming Metric Distance,0.163714
24,Uniformified 32-bit Approx Dual Streak Metric Distance,0.266427
24,Uniformified 32-bit Hash Metric Distance,0.268993
24,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00671563
24,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
25,Uniformified 32-bit Hamming Metric Distance,0.158897
25,Uniformified 32-bit Approx Dual Streak Metric Distance,0.230992
25,Uniformified 32-bit Hash Metric Distance,0.00979049
25,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00645257
25,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
26,Uniformified 32-bit Hamming Metric Distance,0.171393
26,Uniformified 32-bit Approx Dual Streak Metric Distance,0.270621
26,Uniformified 32-bit Hash Metric Distance,0.241996
26,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00604792
26,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494971
27,Uniformified 32-bit Hamming Metric Distance,0.173129
27,Uniformified 32-bit Approx Dual Streak Metric Distance,0.278177
27,Uniformified 32-bit Hash Metric Distance,0.338706
27,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00621819
27,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494974
28,Uniformified 32-bit Hamming Metric Distance,0.171619
28,Uniformified 32-bit Approx Dual Streak Metric Distance,0.255859
28,Uniformified 32-bit Hash Metric Distance,0.255704
28,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00637953
28,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
29,Uniformified 32-bit Hamming Metric Distance,0.159071
29,Uniformified 32-bit Approx Dual Streak Metric Distance,0.2724
29,Uniformified 32-bit Hash Metric Distance,0.0455831
29,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00618392
29,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
30,Uniformified 32-bit Hamming Metric Distance,0.162385
30,Uniformified 32-bit Approx Dual Streak Metric Distance,0.254399
30,Uniformified 32-bit Hash Metric Distance,0.0271834
30,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00666814
30,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
31,Uniformified 32-bit Hamming Metric Distance,0.169188
31,Uniformified 32-bit Approx Dual Streak Metric Distance,0.267886
31,Uniformified 32-bit Hash Metric Distance,0.0385323
31,Uniformified 32-bit Symmetric Wrap Metric Distance,0.0064328
