Sample,Metric,Mean Match Distance
89,Uniformified 32-bit Approx Dual Streak Metric Distance,0.271202
89,Uniformified 32-bit Hash Metric Distance,0.312428
89,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00644753
89,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494971
90,Uniformified 32-bit Hamming Metric Distance,0.167292
90,Uniformified 32-bit Approx Dual Streak Metric Distance,0.278969
90,Uniformified 32-bit Hash Metric Distance,0.0239502
90,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00643773
90,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
91,Uniformified 32-bit Hamming Metric Distance,0.170669
91,Uniformified 32-bit Approx Dual Streak Metric Distance,0.269301
91,Uniformified 32-bit Hash Metric Distance,0.109487
91,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00688561
91,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
92,Uniformified 32-bit Hamming Metric Distance,0.161639
92,Uniformified 32-bit Approx Dual Streak Metric Distance,0.249994
92,Uniformified 32-bit Hash Metric Distance,0.253047
92,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00678241
92,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494971
93,Uniformified 32-bit Hamming Metric Distance,0.173966
93,Uniformified 32-bit Approx Dual Streak Metric Distance,0.282288
93,Uniformified 32-bit Hash Metric Distance,0.0260296
93,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00679912
93,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
94,Uniformified 32-bit Hamming Metric Distance,0.170597
94,Uniformified 32-bit Approx Dual Streak Metric Distance,0.265345
94,Uniformified 32-bit Hash Metric Distance,0.10998
94,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00609162
94,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
95,Uniformified 32-bit Hamming Metric Distance,0.165833
95,Uniformified 32-bit Approx Dual Streak Metric Distance,0.282953
95,Uniformified 32-bit Hash Metric Distance,0.361908
95,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00678004
95,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
96,Uniformified 32-bit Hamming Metric Distance,0.169973
96,Uniformified 32-bit Approx Dual Streak Metric Distance,0.285744
96,Uniformified 32-bit Hash Metric Distance,0.335216
96,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00654898
96,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
97,Uniformified 32-bit Hamming Metric Distance,0.167074
97,Uniformified 32-bit Approx Dual Streak Metric Distance,0.252889
97,Uniformified 32-bit Hash Metric Distance,0.393786
97,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00647209
97,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494971
98,Uniformified 32-bit Hamming Metric Distance,0.171557
98,Uniformified 32-bit Approx Dual Streak Metric Distance,0.272196
98,Uniformified 32-bit Hash Metric Distance,0.0741185
98,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00683286
98,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
99,Uniformified 32-bit Hamming Metric Distance,0.177912
99,Uniformified 32-bit Approx Dual Streak Metric Distance,0.279462
99,Uniformified 32-bit Hash Metric Distance,0.267221
99,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00640432
99,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
