Sample,Metric,Match Distance
17,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00289965
17,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.993623
18,Uniformified 32-bit Hamming Metric Distance,0.0179482
18,Uniformified 32-bit Approx Dual Streak Metric Distance,0.493801
18,Uniformified 32-bit Hash Metric Distance,0.515232
18,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00968624
18,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00122921
19,Uniformified 32-bit Hamming Metric Distance,0.140786
19,Uniformified 32-bit Approx Dual Streak Metric Distance,0.493801
19,Uniformified 32-bit Hash Metric Distance,0.0773774
19,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00462584
19,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.000372807
20,Uniformified 32-bit Hamming Metric Distance,0.0179482
20,Uniformified 32-bit Approx Dual Streak Metric Distance,0.0547445
20,Uniformified 32-bit Hash Metric Distance,0.541882
20,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00711321
20,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.992328
21,Uniformified 32-bit Hamming Metric Distance,0.140786
21,Uniformified 32-bit Approx Dual Streak Metric Distance,0.0864914
21,Uniformified 32-bit Hash Metric Distance,0.043493
21,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00769033
21,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.996983
22,Uniformified 32-bit Hamming Metric Distance,0.0386961
22,Uniformified 32-bit Approx Dual Streak Metric Distance,0.20343
22,Uniformified 32-bit Hash Metric Distance,0.259595
22,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00596636
22,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.000869506
23,Uniformified 32-bit Hamming Metric Distance,0.0179482
23,Uniformified 32-bit Approx Dual Streak Metric Distance,0.000449955
23,Uniformified 32-bit Hash Metric Distance,0.648979
23,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00896702
23,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.000853637
24,Uniformified 32-bit Hamming Metric Distance,0.0179482
24,Uniformified 32-bit Approx Dual Streak Metric Distance,0.630437
24,Uniformified 32-bit Hash Metric Distance,0.132495
24,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00137841
24,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.000355137
25,Uniformified 32-bit Hamming Metric Distance,0.140786
25,Uniformified 32-bit Approx Dual Streak Metric Distance,0.108939
25,Uniformified 32-bit Hash Metric Distance,0.482791
25,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00728329
25,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00381972
26,Uniformified 32-bit Hamming Metric Distance,0.0069993
26,Uniformified 32-bit Approx Dual Streak Metric Distance,0.0547445
26,Uniformified 32-bit Hash Metric Distance,0.615155
26,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00933482
26,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00159929
27,Uniformified 32-bit Hamming Metric Distance,0.0179482
27,Uniformified 32-bit Approx Dual Streak Metric Distance,0.0128487
27,Uniformified 32-bit Hash Metric Distance,0.452871
27,Uniformified 32-bit Symmetric Wrap Metric Distance,0.01166
27,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00340939
28,Uniformified 32-bit Hamming Metric Distance,0.140786
28,Uniformified 32-bit Approx Dual Streak Metric Distance,0.000296631
28,Uniformified 32-bit Hash Metric Distance,0.0665951
28,Uniformified 32-bit Symmetric Wrap Metric Distance,3.86037e-05
